item,participante,prime,SOA,tempo,resposta
item_10,S_04,relacionado,curto,838.243657,correct
item_11,S_04,relacionado,curto,1088.36432,correct
item_12,S_04,relacionado,curto,797.632908,correct
item_13,S_04,relacionado,curto,851.692852,correct
item_14,S_04,relacionado,curto,755.556621,correct
item_15,S_04,relacionado,curto,767.570988,correct
item_01,S_05,relacionado,curto,880.656485,correct
item_02,S_05,relacionado,curto,868.310744,correct
item_03,S_05,relacionado,curto,817.892195,correct
item_04,S_05,relacionado,curto,857.66459,correct
item_05,S_05,relacionado,curto,834.138985,correct
item_06,S_05,relacionado,curto,710.946563,correct
item_07,S_05,relacionado,curto,942.844008,correct
item_08,S_05,relacionado,curto,705.708882,correct
item_09,S_05,relacionado,curto,1012.04128,correct
item_10,S_05,relacionado,curto,890.997462,correct
item_11,S_05,relacionado,curto,884.120515,correct
item_12,S_05,relacionado,curto,739.37313,correct
item_13,S_05,relacionado,curto,737.057057,correct
item_14,S_05,relacionado,curto,678.469873,correct
item_15,S_05,relacionado,curto,870.940675,correct
item_46,S_06,relacionado,curto,840.063276,correct
item_47,S_06,relacionado,curto,841.159923,correct
item_48,S_06,relacionado,curto,673.69419,correct
item_49,S_06,relacionado,curto,1057.92512,correct
item_50,S_06,relacionado,curto,754.101827,correct
item_51,S_06,relacionado,curto,856.040358,correct
item_52,S_06,relacionado,curto,660.132205,correct
item_53,S_06,relacionado,curto,862.728038,correct
item_54,S_06,relacionado,curto,734.423232,correct
item_55,S_06,relacionado,curto,834.15933,correct
item_56,S_06,relacionado,curto,812.771084,correct
item_57,S_06,relacionado,curto,802.781296,correct
item_58,S_06,relacionado,curto,803.682238,correct
item_59,S_06,relacionado,curto,695.650743,correct
item_60,S_06,relacionado,curto,858.810752,correct
item_46,S_07,relacionado,curto,948.726507,correct
item_47,S_07,relacionado,curto,800.479488,correct
item_48,S_07,relacionado,curto,770.480162,correct
item_49,S_07,relacionado,curto,889.573033,correct
item_50,S_07,relacionado,curto,942.172309,correct
item_51,S_07,relacionado,curto,842.445195,correct
item_52,S_07,relacionado,curto,674.204993,correct
item_53,S_07,relacionado,curto,829.594909,correct
item_54,S_07,relacionado,curto,879.532909,correct
item_55,S_07,relacionado,curto,870.489335,correct
item_56,S_07,relacionado,curto,740.720851,correct
item_57,S_07,relacionado,curto,813.384982,correct
item_58,S_07,relacionado,curto,973.034815,correct
item_59,S_07,relacionado,curto,987.70575,correct
item_60,S_07,relacionado,curto,645.578418,correct
item_46,S_08,relacionado,curto,530.310771,correct
item_47,S_08,relacionado,curto,680.420043,correct
item_48,S_08,relacionado,curto,450.967798,correct
item_49,S_08,relacionado,curto,406.40279,correct
item_50,S_08,relacionado,curto,777.092624,correct
item_51,S_08,relacionado,curto,705.913302,correct
item_52,S_08,relacionado,curto,696.626111,correct
item_53,S_08,relacionado,curto,556.407708,correct
item_54,S_08,relacionado,curto,606.516485,correct
item_55,S_08,relacionado,curto,307.003001,correct
item_56,S_08,relacionado,curto,585.662878,correct
item_57,S_08,relacionado,curto,586.428999,correct
item_58,S_08,relacionado,curto,442.079685,correct
item_59,S_08,relacionado,curto,610.561622,correct
item_60,S_08,relacionado,curto,498.259327,correct
item_46,S_09,relacionado,curto,628.380024,correct
item_47,S_09,relacionado,curto,731.708985,correct
item_48,S_09,relacionado,curto,566.113453,correct
item_49,S_09,relacionado,curto,680.939543,correct
item_50,S_09,relacionado,curto,680.10879,correct
item_51,S_09,relacionado,curto,484.396714,incorrect
item_52,S_09,relacionado,curto,758.81902,correct
item_53,S_09,relacionado,curto,429.582967,correct
item_54,S_09,relacionado,curto,589.077434,correct
item_55,S_09,relacionado,curto,614.758973,correct
item_56,S_09,relacionado,curto,648.328572,correct
item_57,S_09,relacionado,curto,533.90737,correct
item_58,S_09,relacionado,curto,661.365808,correct
item_59,S_09,relacionado,curto,463.290684,correct
item_60,S_09,relacionado,curto,638.143001,correct
item_46,S_10,relacionado,curto,589.599617,correct
item_47,S_10,relacionado,curto,555.785011,correct
item_48,S_10,relacionado,curto,536.668946,correct
item_49,S_10,relacionado,curto,628.266477,correct
item_50,S_10,relacionado,curto,660.034002,correct
item_51,S_10,relacionado,curto,514.85666,correct
item_52,S_10,relacionado,curto,739.117869,correct
item_53,S_10,relacionado,curto,673.787643,correct
item_54,S_10,relacionado,curto,657.121137,correct
item_55,S_10,relacionado,curto,495.539656,correct
item_56,S_10,relacionado,curto,634.720284,incorrect
item_57,S_10,relacionado,curto,844.6412,correct
item_58,S_10,relacionado,curto,623.259777,correct
item_59,S_10,relacionado,curto,575.964117,correct
item_60,S_10,relacionado,curto,386.69594,correct
item_31,S_11,relacionado,curto,602.115923,correct
item_32,S_11,relacionado,curto,702.804407,correct
item_33,S_11,relacionado,curto,580.921295,correct
item_34,S_11,relacionado,curto,521.631599,correct
item_35,S_11,relacionado,curto,478.269676,correct
item_36,S_11,relacionado,curto,590.733697,correct
item_37,S_11,relacionado,curto,772.625199,correct
item_38,S_11,relacionado,curto,578.536152,correct
item_39,S_11,relacionado,curto,476.85024,correct
item_40,S_11,relacionado,curto,629.003067,correct
item_41,S_11,relacionado,curto,492.806585,correct
item_42,S_11,relacionado,curto,683.596052,correct
item_43,S_11,relacionado,curto,553.384504,correct
item_44,S_11,relacionado,curto,489.159361,correct
item_45,S_11,relacionado,curto,616.950591,correct
item_31,S_12,relacionado,curto,785.832601,correct
item_32,S_12,relacionado,curto,756.963162,correct
item_33,S_12,relacionado,curto,600.095567,correct
item_34,S_12,relacionado,curto,685.25434,correct
item_35,S_12,relacionado,curto,630.331208,correct
item_36,S_12,relacionado,curto,597.292281,correct
item_37,S_12,relacionado,curto,686.391865,correct
item_38,S_12,relacionado,curto,726.715435,correct
item_39,S_12,relacionado,curto,711.909859,correct
item_40,S_12,relacionado,curto,682.289956,correct
item_41,S_12,relacionado,curto,467.349081,correct
item_42,S_12,relacionado,curto,712.587291,correct
item_43,S_12,relacionado,curto,765.214056,correct
item_44,S_12,relacionado,curto,790.739069,correct
item_45,S_12,relacionado,curto,673.775131,correct
item_31,S_13,relacionado,curto,663.010438,correct
item_32,S_13,relacionado,curto,728.645932,correct
item_33,S_13,relacionado,curto,649.587934,correct
item_34,S_13,relacionado,curto,2181.533896,correct
item_35,S_13,relacionado,curto,841.357114,correct
item_36,S_13,relacionado,curto,917.520933,correct
item_37,S_13,relacionado,curto,567.789136,correct
item_38,S_13,relacionado,curto,814.243078,correct
item_39,S_13,relacionado,curto,579.596614,correct
item_40,S_13,relacionado,curto,661.674757,correct
item_41,S_13,relacionado,curto,507.195914,correct
item_42,S_13,relacionado,curto,603.347216,correct
item_43,S_13,relacionado,curto,704.460695,correct
item_44,S_13,relacionado,curto,605.406878,correct
item_45,S_13,relacionado,curto,761.947993,correct
item_31,S_14,relacionado,curto,562.981689,correct
item_32,S_14,relacionado,curto,543.801926,correct
item_33,S_14,relacionado,curto,662.151765,correct
item_34,S_14,relacionado,curto,739.204134,correct
item_35,S_14,relacionado,curto,701.251251,correct
item_36,S_14,relacionado,curto,540.510449,correct
item_37,S_14,relacionado,curto,824.324149,correct
item_38,S_14,relacionado,curto,939.38302,incorrect
item_39,S_14,relacionado,curto,701.897819,correct
item_40,S_14,relacionado,curto,759.784068,correct
item_41,S_14,relacionado,curto,767.223291,correct
item_42,S_14,relacionado,curto,415.678289,correct
item_43,S_14,relacionado,curto,640.900612,correct
item_44,S_14,relacionado,curto,761.529347,correct
item_45,S_14,relacionado,curto,621.178603,correct
item_31,S_15,relacionado,curto,684.169221,correct
item_32,S_15,relacionado,curto,795.322266,correct
item_33,S_15,relacionado,curto,611.042996,correct
item_34,S_15,relacionado,curto,794.637476,correct
item_35,S_15,relacionado,curto,571.78064,correct
item_36,S_15,relacionado,curto,641.525631,correct
item_37,S_15,relacionado,curto,758.420417,correct
item_38,S_15,relacionado,curto,784.259391,correct
item_39,S_15,relacionado,curto,712.047916,correct
item_40,S_15,relacionado,curto,663.669517,correct
item_41,S_15,relacionado,curto,700.030922,correct
item_42,S_15,relacionado,curto,626.525745,correct
item_43,S_15,relacionado,curto,645.780111,correct
item_44,S_15,relacionado,curto,483.36627,correct
item_45,S_15,relacionado,curto,608.922083,correct
item_16,S_16,relacionado,curto,795.268402,correct
item_17,S_16,relacionado,curto,640.92717,correct
item_18,S_16,relacionado,curto,629.285902,correct
item_19,S_16,relacionado,curto,529.962541,incorrect
item_20,S_16,relacionado,curto,551.62289,correct
item_21,S_16,relacionado,curto,710.986337,correct
item_22,S_16,relacionado,curto,598.730363,correct
item_23,S_16,relacionado,curto,720.242146,correct
item_24,S_16,relacionado,curto,675.242086,correct
item_25,S_16,relacionado,curto,380.001183,correct
item_26,S_16,relacionado,curto,587.877938,correct
item_27,S_16,relacionado,curto,724.171625,correct
item_28,S_16,relacionado,curto,706.523269,correct
item_29,S_16,relacionado,curto,587.565096,correct
item_30,S_16,relacionado,curto,682.007666,correct
item_16,S_17,relacionado,curto,630.39384,correct
item_17,S_17,relacionado,curto,455.171081,correct
item_18,S_17,relacionado,curto,634.491335,incorrect
item_19,S_17,relacionado,curto,518.158419,correct
item_20,S_17,relacionado,curto,691.825207,correct
item_21,S_17,relacionado,curto,586.595339,correct
item_22,S_17,relacionado,curto,548.767429,correct
item_23,S_17,relacionado,curto,477.626837,correct
item_24,S_17,relacionado,curto,578.736511,correct
item_25,S_17,relacionado,curto,811.280086,correct
item_26,S_17,relacionado,curto,816.740636,correct
item_27,S_17,relacionado,curto,686.26762,correct
item_28,S_17,relacionado,curto,667.159887,correct
item_29,S_17,relacionado,curto,536.821733,correct
item_30,S_17,relacionado,curto,567.335376,correct
item_16,S_18,relacionado,curto,573.384984,correct
item_17,S_18,relacionado,curto,718.956951,correct
item_18,S_18,relacionado,curto,508.431411,correct
item_19,S_18,relacionado,curto,623.86818,correct
item_20,S_18,relacionado,curto,719.492065,correct
item_21,S_18,relacionado,curto,723.890176,correct
item_22,S_18,relacionado,curto,573.013339,correct
item_23,S_18,relacionado,curto,702.472937,correct
item_24,S_18,relacionado,curto,715.22692,correct
item_25,S_18,relacionado,curto,537.161495,correct
item_26,S_18,relacionado,curto,388.434038,correct
item_27,S_18,relacionado,curto,305.47827,correct
item_28,S_18,relacionado,curto,483.05573,correct
item_29,S_18,relacionado,curto,552.974703,correct
item_30,S_18,relacionado,curto,627.053892,correct
item_16,S_19,relacionado,curto,695.845723,correct
item_17,S_19,relacionado,curto,589.639676,correct
item_18,S_19,relacionado,curto,611.390543,correct
item_19,S_19,relacionado,curto,731.144116,correct
item_20,S_19,relacionado,curto,722.637896,correct
item_21,S_19,relacionado,curto,718.603602,correct
item_22,S_19,relacionado,curto,412.451926,correct
item_23,S_19,relacionado,curto,617.189448,correct
item_24,S_19,relacionado,curto,586.038387,correct
item_25,S_19,relacionado,curto,441.504096,correct
item_26,S_19,relacionado,curto,648.74384,correct
item_27,S_19,relacionado,curto,441.468871,correct
item_28,S_19,relacionado,curto,618.269267,correct
item_29,S_19,relacionado,curto,745.046469,correct
item_30,S_19,relacionado,curto,644.095,correct
item_16,S_20,relacionado,curto,492.087158,correct
item_17,S_20,relacionado,curto,583.775112,correct
item_18,S_20,relacionado,curto,744.350546,correct
item_19,S_20,relacionado,curto,564.152174,correct
item_20,S_20,relacionado,curto,573.887241,correct
item_21,S_20,relacionado,curto,506.876478,correct
item_22,S_20,relacionado,curto,819.561291,correct
item_23,S_20,relacionado,curto,645.970522,correct
item_24,S_20,relacionado,curto,637.519087,correct
item_25,S_20,relacionado,curto,553.278396,correct
item_26,S_20,relacionado,curto,831.806369,correct
item_27,S_20,relacionado,curto,617.046216,correct
item_28,S_20,relacionado,curto,552.116887,correct
item_29,S_20,relacionado,curto,574.583931,correct
item_30,S_20,relacionado,curto,681.432661,correct
item_16,S_01,relacionado,longo,845.3876098,correct
item_17,S_01,relacionado,longo,743.4439596,correct
item_18,S_01,relacionado,longo,723.2411808,correct
item_19,S_01,relacionado,longo,769.7115887,correct
item_20,S_01,relacionado,longo,764.4217463,correct
item_21,S_01,relacionado,longo,483.8558756,correct
item_22,S_01,relacionado,longo,838.0955603,incorrect
item_23,S_01,relacionado,longo,800.1220155,correct
item_24,S_01,relacionado,longo,743.0940063,correct
item_25,S_01,relacionado,longo,638.3194805,correct
item_26,S_01,relacionado,longo,601.5962609,correct
item_27,S_01,relacionado,longo,674.123252,correct
item_28,S_01,relacionado,longo,744.6323339,correct
item_29,S_01,relacionado,longo,650.0756065,correct
item_30,S_01,relacionado,longo,505.3089298,correct
item_16,S_02,relacionado,longo,665.3252133,correct
item_17,S_02,relacionado,longo,659.3745905,correct
item_18,S_02,relacionado,longo,858.0884729,correct
item_19,S_02,relacionado,longo,694.0299405,correct
item_20,S_02,relacionado,longo,911.7010445,correct
item_21,S_02,relacionado,longo,969.3084536,correct
item_22,S_02,relacionado,longo,811.2561607,correct
item_23,S_02,relacionado,longo,787.0729587,correct
item_24,S_02,relacionado,longo,702.3815505,correct
item_25,S_02,relacionado,longo,736.1253248,correct
item_26,S_02,relacionado,longo,613.3672283,correct
item_27,S_02,relacionado,longo,699.8609978,correct
item_28,S_02,relacionado,longo,651.8783039,correct
item_29,S_02,relacionado,longo,955.5824961,correct
item_30,S_02,relacionado,longo,744.1512712,correct
item_16,S_03,relacionado,longo,713.9411894,correct
item_17,S_03,relacionado,longo,761.4840611,correct
item_18,S_03,relacionado,longo,635.7639988,correct
item_19,S_03,relacionado,longo,899.8260587,correct
item_20,S_03,relacionado,longo,884.2192624,correct
item_21,S_03,relacionado,longo,545.2325009,correct
item_22,S_03,relacionado,longo,766.0627696,correct
item_23,S_03,relacionado,longo,718.0066655,correct
item_24,S_03,relacionado,longo,531.4848424,correct
item_25,S_03,relacionado,longo,792.0082838,correct
item_26,S_03,relacionado,longo,819.2916204,correct
item_27,S_03,relacionado,longo,749.6630517,correct
item_28,S_03,relacionado,longo,787.1861988,correct
item_29,S_03,relacionado,longo,738.0547202,correct
item_30,S_03,relacionado,longo,802.8436292,correct
item_16,S_04,relacionado,longo,819.5499371,correct
item_17,S_04,relacionado,longo,618.3928461,correct
item_18,S_04,relacionado,longo,811.3639967,correct
item_19,S_04,relacionado,longo,636.6574873,correct
item_20,S_04,relacionado,longo,728.9112214,correct
item_21,S_04,relacionado,longo,692.8396616,correct
item_22,S_04,relacionado,longo,779.386452,correct
item_23,S_04,relacionado,longo,943.8477896,correct
item_24,S_04,relacionado,longo,623.5184232,correct
item_25,S_04,relacionado,longo,759.0523162,correct
item_26,S_04,relacionado,longo,591.4236989,correct
item_27,S_04,relacionado,longo,905.0702057,correct
item_28,S_04,relacionado,longo,872.0840178,correct
item_29,S_04,relacionado,longo,705.3337798,correct
item_30,S_04,relacionado,longo,581.3719904,correct
item_16,S_05,relacionado,longo,788.999051,correct
item_17,S_05,relacionado,longo,571.2332762,correct
item_18,S_05,relacionado,longo,694.2555135,correct
item_19,S_05,relacionado,longo,865.1037579,correct
item_20,S_05,relacionado,longo,910.48849,correct
item_21,S_05,relacionado,longo,792.4095071,correct
item_22,S_05,relacionado,longo,581.0168903,correct
item_23,S_05,relacionado,longo,588.6331164,correct
item_24,S_05,relacionado,longo,723.073946,correct
item_25,S_05,relacionado,longo,667.1699993,correct
item_26,S_05,relacionado,longo,940.6785632,correct
item_27,S_05,relacionado,longo,604.0176002,correct
item_28,S_05,relacionado,longo,795.196111,correct
item_29,S_05,relacionado,longo,827.5766596,correct
item_30,S_05,relacionado,longo,742.388491,correct
item_01,S_06,relacionado,longo,681.4719277,correct
item_02,S_06,relacionado,longo,685.3598943,correct
item_03,S_06,relacionado,longo,858.9148247,correct
item_04,S_06,relacionado,longo,640.474286,correct
item_05,S_06,relacionado,longo,479.4758196,correct
item_06,S_06,relacionado,longo,653.6652948,correct
item_07,S_06,relacionado,longo,547.2286053,correct
item_08,S_06,relacionado,longo,612.0607856,correct
item_09,S_06,relacionado,longo,691.1959078,correct
item_10,S_06,relacionado,longo,1041.70081,correct
item_11,S_06,relacionado,longo,685.8242309,correct
item_12,S_06,relacionado,longo,675.4163083,correct
item_13,S_06,relacionado,longo,877.2164414,correct
item_14,S_06,relacionado,longo,644.6794746,correct
item_15,S_06,relacionado,longo,597.3034643,correct
item_01,S_07,relacionado,longo,790.5237575,correct
item_02,S_07,relacionado,longo,709.900776,correct
item_03,S_07,relacionado,longo,586.3724118,correct
item_04,S_07,relacionado,longo,689.3708599,correct
item_05,S_07,relacionado,longo,601.0813026,correct
item_06,S_07,relacionado,longo,648.4595188,correct
item_07,S_07,relacionado,longo,427.4691551,correct
item_08,S_07,relacionado,longo,652.4504934,correct
item_09,S_07,relacionado,longo,773.4821624,correct
item_10,S_07,relacionado,longo,806.889487,correct
item_11,S_07,relacionado,longo,872.99699,correct
item_12,S_07,relacionado,longo,648.5593603,correct
item_13,S_07,relacionado,longo,626.9833636,correct
item_14,S_07,relacionado,longo,924.7104361,correct
item_15,S_07,relacionado,longo,776.0821638,correct
item_01,S_08,relacionado,longo,655.8708839,correct
item_02,S_08,relacionado,longo,658.7206919,correct
item_03,S_08,relacionado,longo,602.5955706,correct
item_04,S_08,relacionado,longo,167.1463017,correct
item_05,S_08,relacionado,longo,529.6873931,correct
item_06,S_08,relacionado,longo,626.8071899,correct
item_07,S_08,relacionado,longo,851.0849838,correct
item_08,S_08,relacionado,longo,653.9829701,incorrect
item_09,S_08,relacionado,longo,644.8331583,correct
item_10,S_08,relacionado,longo,383.4256147,correct
item_11,S_08,relacionado,longo,675.9724411,correct
item_12,S_08,relacionado,longo,730.7540726,correct
item_13,S_08,relacionado,longo,791.1609108,correct
item_14,S_08,relacionado,longo,463.4766875,correct
item_15,S_08,relacionado,longo,573.5381669,correct
item_01,S_09,relacionado,longo,552.3753902,correct
item_02,S_09,relacionado,longo,581.8203802,correct
item_03,S_09,relacionado,longo,654.0601179,correct
item_04,S_09,relacionado,longo,659.854699,correct
item_05,S_09,relacionado,longo,510.9164518,correct
item_06,S_09,relacionado,longo,585.187782,correct
item_07,S_09,relacionado,longo,458.2595953,correct
item_08,S_09,relacionado,longo,518.020492,correct
item_09,S_09,relacionado,longo,481.2663638,correct
item_10,S_09,relacionado,longo,174.5053648,correct
item_11,S_09,relacionado,longo,497.8067529,correct
item_12,S_09,relacionado,longo,587.1653122,correct
item_13,S_09,relacionado,longo,637.6856192,correct
item_14,S_09,relacionado,longo,648.9809597,correct
item_15,S_09,relacionado,longo,594.2661184,correct
item_01,S_10,relacionado,longo,838.729463,correct
item_02,S_10,relacionado,longo,454.0805992,correct
item_03,S_10,relacionado,longo,549.8988011,correct
item_04,S_10,relacionado,longo,752.3908583,correct
item_05,S_10,relacionado,longo,575.8045893,correct
item_06,S_10,relacionado,longo,503.7581214,correct
item_07,S_10,relacionado,longo,520.7127344,correct
item_08,S_10,relacionado,longo,748.1946493,correct
item_09,S_10,relacionado,longo,683.0011216,correct
item_10,S_10,relacionado,longo,446.8048136,correct
item_11,S_10,relacionado,longo,575.4248527,correct
item_12,S_10,relacionado,longo,422.981572,correct
item_13,S_10,relacionado,longo,576.5356565,correct
item_14,S_10,relacionado,longo,675.3647903,correct
item_15,S_10,relacionado,longo,658.9762625,correct
item_46,S_11,relacionado,longo,469.1660416,correct
item_47,S_11,relacionado,longo,719.9230936,correct
item_48,S_11,relacionado,longo,541.6490876,correct
item_49,S_11,relacionado,longo,621.2203563,correct
item_50,S_11,relacionado,longo,684.0857713,correct
item_51,S_11,relacionado,longo,490.7121006,correct
item_52,S_11,relacionado,longo,863.1508528,correct
item_53,S_11,relacionado,longo,785.677403,correct
item_54,S_11,relacionado,longo,605.8939033,correct
item_55,S_11,relacionado,longo,672.5809197,correct
item_56,S_11,relacionado,longo,329.3144421,correct
item_57,S_11,relacionado,longo,530.8088359,correct
item_58,S_11,relacionado,longo,592.4745975,correct
item_59,S_11,relacionado,longo,564.7495839,correct
item_60,S_11,relacionado,longo,469.074273,correct
item_46,S_12,relacionado,longo,570.9731872,correct
item_47,S_12,relacionado,longo,658.1773816,correct
item_48,S_12,relacionado,longo,767.1347675,correct
item_49,S_12,relacionado,longo,492.6632573,correct
item_50,S_12,relacionado,longo,548.4257989,incorrect
item_51,S_12,relacionado,longo,450.2870311,correct
item_52,S_12,relacionado,longo,691.3255767,correct
item_53,S_12,relacionado,longo,582.6741393,correct
item_54,S_12,relacionado,longo,722.108052,correct
item_55,S_12,relacionado,longo,685.88036,correct
item_56,S_12,relacionado,longo,605.1767685,correct
item_57,S_12,relacionado,longo,684.652904,correct
item_58,S_12,relacionado,longo,414.4034319,correct
item_59,S_12,relacionado,longo,566.6104327,correct
item_60,S_12,relacionado,longo,553.6700212,correct
item_46,S_13,relacionado,longo,500.5764696,correct
item_47,S_13,relacionado,longo,646.5782519,correct
item_48,S_13,relacionado,longo,698.9028108,correct
item_49,S_13,relacionado,longo,459.0831055,correct
item_50,S_13,relacionado,longo,324.9762637,correct
item_51,S_13,relacionado,longo,514.7113561,correct
item_52,S_13,relacionado,longo,623.5931215,correct
item_53,S_13,relacionado,longo,605.5818981,correct
item_54,S_13,relacionado,longo,579.9827174,correct
item_55,S_13,relacionado,longo,755.7372316,correct
item_56,S_13,relacionado,longo,423.9654337,correct
item_57,S_13,relacionado,longo,360.8191721,correct
item_58,S_13,relacionado,longo,578.5585456,correct
item_59,S_13,relacionado,longo,392.6318317,correct
item_60,S_13,relacionado,longo,443.9156187,correct
item_46,S_14,relacionado,longo,740.2355628,correct
item_47,S_14,relacionado,longo,540.7078466,correct
item_48,S_14,relacionado,longo,556.4744388,correct
item_49,S_14,relacionado,longo,530.3989748,correct
item_50,S_14,relacionado,longo,701.7340155,correct
item_51,S_14,relacionado,longo,604.0872053,correct
item_52,S_14,relacionado,longo,321.8775805,incorrect
item_53,S_14,relacionado,longo,354.0236019,correct
item_54,S_14,relacionado,longo,606.5628396,correct
item_55,S_14,relacionado,longo,510.6246884,correct
item_56,S_14,relacionado,longo,628.3808976,correct
item_57,S_14,relacionado,longo,683.680821,correct
item_58,S_14,relacionado,longo,604.9604486,correct
item_59,S_14,relacionado,longo,309.769023,correct
item_60,S_14,relacionado,longo,481.7105644,correct
item_46,S_15,relacionado,longo,594.7899743,correct
item_47,S_15,relacionado,longo,541.7748998,correct
item_48,S_15,relacionado,longo,533.9776242,correct
item_49,S_15,relacionado,longo,549.0636672,correct
item_50,S_15,relacionado,longo,408.6329527,correct
item_51,S_15,relacionado,longo,513.653819,correct
item_52,S_15,relacionado,longo,471.3438006,correct
item_53,S_15,relacionado,longo,618.1764153,correct
item_54,S_15,relacionado,longo,738.1845308,correct
item_55,S_15,relacionado,longo,422.5110918,correct
item_56,S_15,relacionado,longo,571.5230569,correct
item_57,S_15,relacionado,longo,493.0375946,correct
item_58,S_15,relacionado,longo,617.7019816,correct
item_59,S_15,relacionado,longo,449.4019224,correct
item_60,S_15,relacionado,longo,742.1278696,correct
item_31,S_16,relacionado,longo,652.2592432,correct
item_32,S_16,relacionado,longo,527.1599121,correct
item_33,S_16,relacionado,longo,463.8485678,correct
item_34,S_16,relacionado,longo,521.0025629,correct
item_35,S_16,relacionado,longo,541.8758137,correct
item_36,S_16,relacionado,longo,558.4622256,correct
item_37,S_16,relacionado,longo,517.744128,correct
item_38,S_16,relacionado,longo,538.6627069,correct
item_39,S_16,relacionado,longo,601.2278371,correct
item_40,S_16,relacionado,longo,453.4920204,correct
item_41,S_16,relacionado,longo,461.5208968,correct
item_42,S_16,relacionado,longo,578.1816844,correct
item_43,S_16,relacionado,longo,761.9950402,correct
item_44,S_16,relacionado,longo,605.2961428,correct
item_45,S_16,relacionado,longo,609.7166697,correct
item_31,S_17,relacionado,longo,733.2413643,correct
item_32,S_17,relacionado,longo,604.2589675,correct
item_33,S_17,relacionado,longo,701.4539721,correct
item_34,S_17,relacionado,longo,603.1366673,correct
item_35,S_17,relacionado,longo,665.8000718,correct
item_36,S_17,relacionado,longo,686.6581197,correct
item_37,S_17,relacionado,longo,758.0654077,correct
item_38,S_17,relacionado,longo,490.2233617,correct
item_39,S_17,relacionado,longo,581.5067498,incorrect
item_40,S_17,relacionado,longo,550.2618934,correct
item_41,S_17,relacionado,longo,572.6538086,correct
item_42,S_17,relacionado,longo,829.0194888,correct
item_43,S_17,relacionado,longo,647.3344834,correct
item_44,S_17,relacionado,longo,716.3986759,correct
item_45,S_17,relacionado,longo,589.7463404,correct
item_31,S_18,relacionado,longo,442.8623176,correct
item_32,S_18,relacionado,longo,540.6125977,correct
item_33,S_18,relacionado,longo,719.9108277,correct
item_34,S_18,relacionado,longo,544.4419483,correct
item_35,S_18,relacionado,longo,674.4060983,correct
item_36,S_18,relacionado,longo,639.3778389,correct
item_37,S_18,relacionado,longo,525.8195343,correct
item_38,S_18,relacionado,longo,740.2919791,correct
item_39,S_18,relacionado,longo,568.8978199,incorrect
item_40,S_18,relacionado,longo,539.6898975,correct
item_41,S_18,relacionado,longo,562.8658057,correct
item_42,S_18,relacionado,longo,618.133451,correct
item_43,S_18,relacionado,longo,695.2625997,correct
item_44,S_18,relacionado,longo,503.6620561,correct
item_45,S_18,relacionado,longo,450.7353948,correct
